,title,cast,director,keywords,genres
0,Avatar,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",James Cameron,"['culture clash', 'future', 'space war']","['Action', 'Adventure', 'Fantasy']"
1,Pirates of the Caribbean: At World's End,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski,"['ocean', 'drug abuse', 'exotic island']","['Adventure', 'Fantasy', 'Action']"
2,Spectre,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",Sam Mendes,"['spy', 'based on novel', 'secret agent']","['Action', 'Adventure', 'Crime']"
3,The Dark Knight Rises,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",Christopher Nolan,"['dc comics', 'crime fighter', 'terrorist']","['Action', 'Crime', 'Drama']"
4,John Carter,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",Andrew Stanton,"['based on novel', 'mars', 'medallion']","['Action', 'Adventure', 'Science Fiction']"
5,Spider-Man 3,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",Sam Raimi,"['dual identity', 'amnesia', 'sandstorm']","['Fantasy', 'Action', 'Adventure']"
6,Tangled,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",Byron Howard,"['hostage', 'magic', 'horse']","['Animation', 'Family']"
7,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",Joss Whedon,"['marvel comic', 'sequel', 'superhero']","['Action', 'Adventure', 'Science Fiction']"
8,Harry Potter and the Half-Blood Prince,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",David Yates,"['witch', 'magic', 'broom']","['Adventure', 'Fantasy', 'Family']"
9,Batman v Superman: Dawn of Justice,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Zack Snyder,"['dc comics', 'vigilante', 'superhero']","['Action', 'Adventure', 'Fantasy']"
10,Superman Returns,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",Bryan Singer,"['saving the world', 'dc comics', 'invulnerability']","['Adventure', 'Fantasy', 'Action']"
11,Quantum of Solace,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",Marc Forster,"['killing', 'undercover', 'secret agent']","['Adventure', 'Action', 'Thriller']"
12,Pirates of the Caribbean: Dead Man's Chest,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski,"['witch', 'fortune teller', 'bondage']","['Adventure', 'Fantasy', 'Action']"
13,The Lone Ranger,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",Gore Verbinski,"['texas', 'horse', 'survivor']","['Action', 'Adventure', 'Western']"
14,Man of Steel,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",Zack Snyder,"['saving the world', 'dc comics', 'superhero']","['Action', 'Adventure', 'Fantasy']"
15,The Chronicles of Narnia: Prince Caspian,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",Andrew Adamson,"['based on novel', 'fictional place', 'brother sister relationship']","['Adventure', 'Family', 'Fantasy']"
16,The Avengers,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",Joss Whedon,"['new york', 'shield', 'marvel comic']","['Science Fiction', 'Action', 'Adventure']"
17,Pirates of the Caribbean: On Stranger Tides,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",Rob Marshall,"['sea', 'captain', 'mutiny']","['Adventure', 'Action', 'Fantasy']"
